Designator,Mid X,Mid Y,Rotation,Layer
A1,132.680871,-29.217954,0.0,top
C1,110.49,-41.91,0.0,top
C2,110.49,-34.29,180.0,top
C3,110.49,-36.83,180.0,top
C6,133.35,-50.8,90.0,top
C7,128.27,-53.34,90.0,top
F1,111.76,-45.72,0.0,top
J1,161.58,-44.44,180.0,top
J2,103.16,-40.64,270.0,top
M1,139.065,-48.26,0.0,top
M2,142.875,-48.26,0.0,top
M3,146.685,-48.26,0.0,top
M4,150.495,-48.26,0.0,top
M5,154.305,-48.275,0.0,top
M6,158.115,-48.26,0.0,top
Q1,114.01,-49.31,270.0,top
Q2,122.21,-34.29,180.0,top
Q3,114.01,-53.12,270.0,top
Q4,119.38,-46.99,90.0,top
Q5,122.21,-38.1,180.0,top
Q6,119.38,-43.18,90.0,top
Q8,117.82,-51.85,0.0,top
Q9,115.57,-43.18,180.0,top
R1,110.49,-49.31,270.0,top
R10,118.4,-34.29,0.0,top
R11,118.4,-38.1,0.0,top
R2,110.49,-53.12,90.0,top
R3,122.9,-46.99,90.0,top
R4,122.9,-43.18,270.0,top
R5,105.7,-46.99,0.0,top
R6,105.7,-34.29,0.0,top
R7,140.97,-38.1,270.0,top
R8,126.02,-34.29,90.0,top
R9,126.02,-38.1,90.0,top
SW1,148.59,-36.83,0.0,top
U1,132.37,-38.1,90.0,top
